U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Unconscious;(a.) Not conscious; having no consciousness or power of mental perception; without cerebral appreciation; hence, not knowing or regarding; ignorant; as, an unconscious man.
Unconscious;(a.) Not known or apprehended by consciousness; as, an unconscious cerebration.
Unconscious;(a.) Having no knowledge by experience; -- followed by of; as, a mule unconscious of the yoke.
Unconsecrate;(v. t.) To render not sacred
Unconsequential;(a.) Inconsequential.
Unconsiderate;(a.) Inconsiderate
Unconsidered;(a.) Not considered or attended to
Unconsonant;(a.) Incongruous
Unconspicuous;(a.) Inconspicuous.
Unconstancy;(n.) Inconstancy.
Unconstant;(a.) Not constant
Unconstitutional;(a.) Not constitutional; not according to, or consistent with, the terms of a constitution of government; contrary to the constitution; as, an unconstitutional law, or act of an officer.
Unconstraint;(n.) Freedom from constraint
Unconsummate;(a.) Not consummated
Uncontestable;(a.) Incontestable.
Uncontinent;(a.) Not continent
Uncontrollable;(a.) Incapable of being controlled; ungovernable; irresistible; as, an uncontrollable temper; uncontrollable events.
Uncontrollable;(a.) Indisputable; irrefragable; as, an uncontrollable maxim; an uncontrollable title.
Uncontroversory;(a.) Not involving controversy.
Uncontrovertible;(a.) Incontrovertible.
Uncontrovertibly;(adv.) Incontrovertibly.
Unconvenient;(a.) Inconvenient.
Unconversion;(n.) The state of being unconverted
Unconverted;(a.) Not converted or exchanged.
Unconverted;(a.) Not changed in opinion, or from one faith to another.
Unconverted;(a.) Not persuaded of the truth of the Christian religion
Unconverted;(a.) Unregenerate
Uncord;(v. t.) To release from cords; to loosen the cord or cords of; to unfasten or unbind; as, to uncord a package.
Uncork;(v. t.) To draw the cork from; as, to uncork a bottle.
Uncorrect;(a.) Incorrect.
Uncorrigible;(a.) Incorrigible
Uncorrupt;(a.) Incorrupt.
Uncorruptible;(a.) Incorruptible.
Uncorruption;(n.) Incorruption.
Uncouple;(v. t.) To loose, as dogs, from their couples; also, to set loose; to disconnect; to disjoin; as, to uncouple railroad cars.
Uncouple;(v. i.) To roam at liberty.
Uncourtliness;(n.) Absence of courtliness
Uncous;(a.) Hooklike
Uncouth;(a.) Unknown.
Uncouth;(a.) Uncommon
Uncouth;(a.) Unfamiliar; strange; hence, mysterious; dreadful; also, odd; awkward; boorish; as, uncouth manners.
Uncovenable;(a.) Not covenable
Uncovenanted;(a.) Not covenanted; not granted or entered into under a covenant, agreement, or contract.
Uncovenanted;(a.) Not having joined in a league, or assented to a covenant or agreement, as to the Solemn League and Covenant of the Scottish people in the times of the Stuarts.
Uncovenanted;(a.) Not having entered into relationship with God through the appointed means of grace; also, not promised or assured by the divine promises or conditions; as, uncovenanted mercies.
Uncovered;(imp. & p. p.) of Uncover
Uncovering;(p. pr. & vb. n.) of Uncover
Uncover;(v. t.) To take the cover from; to divest of covering; as, to uncover a box, bed, house, or the like; to uncover one's body.
Uncover;(v. t.) To show openly
Uncover;(v. t.) To divest of the hat or cap; to bare the head of; as, to uncover one's head; to uncover one's self.
Uncover;(v. i.) To take off the hat or cap
Uncover;(v. i.) To remove the covers from dishes, or the like.
Uncowl;(v. t.) To divest or deprive of a cowl.
Uncreate;(v. t.) To deprive of existence
Uncreate;(a.) Uncreated
Uncreated;(a.) Deprived of existence
Uncreated;(a.) Not yet created; as, misery uncreated.
Uncreated;(a.) Not existing by creation; self-existent; eternal; as, God is an uncreated being.
Uncreatedness;(n.) The quality or state of being uncreated.
Uncredible;(a.) Incredible.
Uncredit;(v. t.) To cause to be disbelieved
Uncreditable;(a.) Discreditable.
Uncrown;(v. t.) To deprive of a crown; to take the crown from; hence, to discrown; to dethrone.
Uncrudded;(a.) Not cruddled, or curdled.
Unction;(n.) The act of anointing, smearing, or rubbing with an unguent, oil, or ointment, especially for medical purposes, or as a symbol of consecration; as, mercurial unction.
Unction;(n.) That which is used for anointing; an unguent; an ointment; hence, anything soothing or lenitive.
Unction;(n.) Divine or sanctifying grace.
Unction;(n.) That quality in language, address, or the like, which excites emotion; especially, strong devotion; religious fervor and tenderness; sometimes, a simulated, factitious, or unnatural fervor.
Unctious;(a.) Unctuous.
Unctuosity;(n.) Quality or state of being unctuous.
Unctuous;(a.) Of the nature or quality of an unguent or ointment
Unctuous;(a.) Having a smooth, greasy feel, as certain minerals.
Unctuous;(a.) Bland; suave; also, tender; fervid; as, an unctuous speech; sometimes, insincerely suave or fervid.
Unculpable;(a.) Inculpable
Uncult;(a.) Not cultivated
Unculture;(n.) Want of culture.
Uncunning;(a.) Ignorant.
Uncunningly;(adv.) Ignorantly.
Uncunningness;(n.) Ignorance.
Uncurable;(a.) Incurable.
Uncurably;(adv.) In an uncurable manner.
Uncurbable;(a.) Not capable of being curbed.
Uncurl;(v. t.) To loose from curls, or ringlets; to straighten out, as anything curled or curly.
Uncurl;(v. i.) To become uncurled, or straight.
Uncurrent;(a.) Not current. Specifically: Not passing in common payment; not receivable at par or full value; as, uncurrent notes.
Uncurse;(v. t.) To free from a curse or an execration.
Uncurtain;(v. t.) To remove a curtain from
Unci;(pl. ) of Uncus
Uncus;(n.) A hook or claw.
Uncustomable;(a.) Not customable, or subject to custom duties.
Uncustomed;(a.) Uncustomable; also, not having paid duty or customs.
Uncut;(a.) Not cut; not separated or divided by cutting or otherwise; -- said especially of books, periodicals, and the like, when the leaves have not been separated by trimming in binding.
Uncut;(a.) Not ground, or otherwise cut, into a certain shape; as, an uncut diamond.
Uncuth;(a.) Unknown
Uncuth;(n.) A stranger.
Uncypher;(v. t.) See Uncipher.
Undam;(v. t.) To free from a dam, mound, or other obstruction.
Undampned;(a.) Uncondemned.
Undated;(a.) Rising and falling in waves toward the margin, as a leaf; waved.
Undated;(a.) Not dated; having no date; of unknown age; as, an undated letter.
Undauntable;(a.) Incapable of being daunted
Undaunted;(a.) Not daunted
Unde;(a.) Waving or wavy; -- applied to ordinaries, or division lines.
Undeadly;(a.) Not subject to death
Undeaf;(v. t.) To free from deafness
Undecagon;(n.) A figure having eleven angles and eleven sides.
Undecane;(n.) A liquid hydrocarbon, C11H24, of the methane series, found in petroleum; -- so called from its containing eleven carbon atoms in the molecule.
Undeceive;(v. t.) To cause to be no longer deceived; to free from deception, fraud, fallacy, or mistake.
Undecency;(n.) Indecency.
Undecennary;(a.) Occurring once in every period of eleven years
Undecennial;(a.) Occurring or observed every eleventh year; belonging to, or continuing, a period of eleven years; undecennary; as, an undecennial festival.
Undecent;(a.) Indecent.
Undecide;(v. t.) To reverse or recant, as a previous decision.
Undecisive;(a.) Indecisive.
Undeck;(v. t.) To divest of ornaments.
Undecked;(a.) Not decked
Undecked;(a.) Not having a deck; as, an undecked vessel.
Undecolic;(a.) Pertaining to, or designating, an acid, C11H18O2, of the propiolic acid series, obtained indirectly from undecylenic acid as a white crystalline substance.
Undecreed;(a.) Not decreed.
Undecreed;(a.) Reversed or nullified by decree, as something previously decreed.
Undecyl;(n.) The radical regarded as characteristic of undecylic acid.
Undecylenic;(a.) Pertaining to, or designating, an acid C11H20O2, homologous with acrylic acid, and obtained as a white crystalline substance by the distillation of castor oil.
Undecylic;(a.) Related to, derived from, or containing, undecyl; specifically, designating that member of the fatty acids which corresponds to undecane, and is obtained as a white crystalline substance, C11H22O2.
Undeeded;(a.) Not deeded or transferred by deed; as, undeeded land.
Undeeded;(a.) Not made famous by any great action.
Undefatigable;(a.) Indefatigable.
Undefeasible;(a.) Indefeasible.
Undefine;(v. t.) To make indefinite
Undeify;(v. t.) To degrade from the state of deity
Undeniable;(a.) Not deniable; incapable of denial; palpably true; indisputable; obvious; as, undeniable evidence.
Undeniable;(a.) Unobjectionable; unquestionably excellent; as, a person of undeniable connections.
Undeniably;(adv.) In an undeniable manner.
Undepartable;(a.) Incapable of being parted
Under;(prep.) Below or lower, in place or position, with the idea of being covered; lower than; beneath; -- opposed to over; as, he stood under a tree; the carriage is under cover; a cellar extends under the whole house.
Under;(prep.) Denoting relation to some thing or person that is superior, weighs upon, oppresses, bows down, governs, directs, influences powerfully, or the like, in a relation of subjection, subordination, obligation, liability, or the like; as, to travel under a heavy load; to live under extreme oppression; to have fortitude under the evils of life; to have patience under pain, or under misfortunes; to behave like a Christian under reproaches and injuries; under the pains and penalties of the law; the condition under which one enters upon an office; under the necessity of obeying the laws; under vows of chastity.
Under;(prep.) Denoting relation to something that exceeds in rank or degree, in number, size, weight, age, or the like; in a relation of the less to the greater, of inferiority, or of falling short.
Under;(prep.) Denoting relation to something that comprehends or includes, that represents or designates, that furnishes a cover, pretext, pretense, or the like; as, he betrayed him under the guise of friendship; Morpheus is represented under the figure of a boy asleep.
Under;(prep.) Less specifically, denoting the relation of being subject, of undergoing regard, treatment, or the like; as, a bill under discussion.
Under;(adv.) In a lower, subject, or subordinate condition; in subjection; -- used chiefly in a few idiomatic phrases; as, to bring under, to reduce to subjection; to subdue; to keep under, to keep in subjection; to control; to go under, to be unsuccessful; to fail.
Under;(a.) Lower in position, intensity, rank, or degree; subject; subordinate; -- generally in composition with a noun, and written with or without the hyphen; as, an undercurrent; undertone; underdose; under-garment; underofficer; undersheriff.
Underact;(v. t.) To perform inefficiently, as a play; to act feebly.
Underaction;(n.) Subordinate action
Underactor;(n.) A subordinate actor.
Under-age;(a.) Not having arrived at adult age, or at years of discretion; hence, raw; green; immature; boyish; childish.
Underagent;(n.) A subordinate agent.
Underaid;(v. t.) To aid clandestinely.
Under-arm;(a.) Done (as bowling) with the arm not raised above the elbow, that is, not swung far out from the body; underhand. Cf. Over-arm and Round-Arm.
Underback;(n.) A vessel which receives the wort as it flows from the mashing tub.
Underbear;(v. t.) To support
Underbear;(v. t.) To line; to guard; to face; as, cloth of gold underborne with blue tinsel.
Underbearer;(n.) One who supports or sustains; especially, at a funeral, one of those who bear the copse, as distinguished from a bearer, or pallbearer, who helps to hold up the pall.
Underbid;(v. t.) To bid less than, as when a contract or service is offered to the lowest bidder; to offer to contract, sell, or do for a less price than.
Underbind;(v. t.) To bind beneath.
Underboard;(adv.) Under the board, or table; hence, secretly; unfairly; underhand. See the Note under Aboveboard.
Underbrace;(v. t.) To brace, fasten, or bind underneath or below.
Underbranch;(n.) A lower branch.
Underbranch;(n.) A twig or branchlet.
Underbred;(a.) Not thoroughly bred; ill-bred; as, an underbred fellow.
Underbrush;(n.) Shrubs, small trees, and the like, in a wood or forest, growing beneath large trees; undergrowth.
Underbuilder;(n.) A subordinate or assistant builder.
Underbuilding;(n.) Same as Substruction.
Underbuy;(v. t.) To buy at less than the real value or worth
Undercast;(v. t.) To cast under or beneath.
Underchamberlain;(n.) A deputy chamberlain of the exchequer.
Underchanter;(n.) Same as Subchanter.
Underchaps;(n. pl.) The lower chaps or jaw.
Undercharge;(v. t.) To charge below or under; to charge less than is usual or suitable fro; as, to undercharge goods or services.
Undercharge;(v. t.) To put too small a charge into; as, to undercharge a gun.
Undercharge;(n.) A charge that is less than is usual or suitable.
Underclay;(n.) A stratum of clay lying beneath a coal bed, often containing the roots of coal plants, especially the Stigmaria.
Undercliff;(n.) A subordinate cliff on a shore, consisting of material that has fallen from the higher cliff above.
Underclothes;(n. pl.) Clothes worn under others, especially those worn next the skin for warmth.
Underclothing;(n.) Same as Underclothes.
Undercoat;(n.) A coat worn under another; a light coat, as distinguished from an overcoat, or a greatcoat.
Undercoat;(n.) A growth of short hair or fur partially concealed by a longer growth; as, a dog's undercoat.
Underconduct;(n.) A lower conduit
Underconsumption;(n.) Consumption of less than is produced
Undercraft;(n.) A sly trick or device; as, an undercraft of authors.
Undercreep;(v. i.) To creep secretly or privily.
Undercrest;(v. t.) To support as a crest
Undercroft;(n.) A subterranean room of any kind; esp., one under a church (see Crypt), or one used as a chapel or for any sacred purpose.
Undercry;(v. i.) To cry aloud.
Undercurrent;(n.) A current below the surface of water, sometimes flowing in a contrary direction to that on the surface.
Undercurrent;(n.) Hence, figuratively, a tendency of feeling, opinion, or the like, in a direction contrary to what is publicly shown; an unseen influence or tendency; as, a strong undercurrent of sentiment in favor of a prisoner.
Undercurrent;(a.) Running beneath the surface
Undercut;(n.) The lower or under side of a sirloin of beef
Undercut;(v. t.) To cut away, as the side of an object, so as to leave an overhanging portion.
Underdealing;(n.) Crafty, unfair, or underhand dealing; unfair practice; trickery.
Underdelve;(v. t.) To delve under.
Underdig;(v. t.) To dig under or beneath
Underditch;(v. t.) To dig an underground ditches in, so as to drain the surface; to underdrain; as, to underditch a field or a farm.
Underdo;(v. i.) To do less than is requisite or proper
Underdo;(v. t.) To do less thoroughly than is requisite; specifically, to cook insufficiently; as, to underdo the meat; -- opposed to overdo.
Underdoer;(n.) One who underdoes
Underdolven;() p. p. of Underdelve.
Underdose;(n.) A dose which is less than required
Underdose;(v. t. & i.) To give an underdose or underdoses to
Underdrain;(n.) An underground drain or trench with openings through which the water may percolate from the soil or ground above.
Underdrain;(v. t.) To drain by forming an underdrain or underdrains in; as, to underdrain land.
Underdressed;(a.) Not dresses enough.
Underestimate;(v. t.) To set to/ low a value on
Underestimate;(n.) The act of underestimating
Underfaction;(n.) A subordinate party or faction.
Underfaculty;(n.) An inferior or subordinate faculty.
Underfarmer;(n.) An assistant farmer.
Underfeed;(v. t.) To feed with too little food
Underfellow;(n.) An underling // mean, low fellow.
Underfilling;(n.) The filling below or beneath
Underfollow;(v. t.) To follow closely or immediately after.
Underfong;(v. t.) To undertake
Underfong;(v. t.) To insnare
Underfong;(v. t.) To sustain
Underfoot;(adv.) Under the feet; underneath; below. See Under foot, under Foot, n.
Underfoot;(a.) Low
Underfringe;(n.) A lower fringe
Underfurnish;(v. t.) To supply with less than enough
Underfurrow;(v. t.) To cover as under a furrow; to plow in; as, to underfurrow seed or manure.
Under-garment;(n.) A garment worn below another.
Underget;(v. t.) To get under or beneath; also, to understand.
Undergird;(v. t.) To blind below
Underglaze;(a.) Applied under the glaze, that is, before the glaze, that is, before the glaze is put on; fitted to be so applied; -- said of colors in porcelain painting.
Underwent;(imp.) of Undergo
Undergone;(p. p.) of Undergo
Undergoing;(p. pr. & vb. n.) of Undergo
Undergo;(v. t.) To go or move below or under.
Undergo;(v. t.) To be subjected to; to bear up against; to pass through; to endure; to suffer; to sustain; as, to undergo toil and fatigue; to undergo pain, grief, or anxiety; to undergothe operation of amputation; food in the stomach undergoes the process of digestion.
Undergo;(v. t.) To be the bearer of
Undergo;(v. t.) To undertake
Undergo;(v. t.) To be subject or amenable to
Undergod;(n.) A lower or inferio/ god
Undergore;(v. t.) To gore underneath.
Undergown;(n.) A gown worn under another, or under some other article of dress.
Undergraduate;(n.) A member of a university or a college who has not taken his first degree
Undergraduate;(a.) Of or pertaining to an undergraduate, or the body of undergraduates.
Undergraduateship;(n.) The position or condition of an undergraduate.
Undergroan;(v. t.) To groan beneath.
Underground;(n.) The place or space beneath the surface of the ground
Underground;(a.) Being below the surface of the ground; as, an underground story or apartment.
Underground;(a.) Done or occurring out of sight
Underground;(adv.) Beneath the surface of the earth.
Undergrove;(n.) A grove of shrubs or low trees under taller ones.
Undergrow;(v. i.) To grow to an inferior, or less than the usual, size or height.
Undergrow;(a.) Undergrown.
Undergrown;(a.) Of small stature
Undergrowth;(n.) That which grows under trees; specifically, shrubs or small trees growing among large trees.
Undergrub;(v. t.) To undermine.
Underhand;(a.) Secret; clandestine; hence, mean; unfair; fraudulent.
Underhand;(a.) Done, as pitching, with the hand lower than the shoulder, or, as bowling, with the hand lower than elbow.
Underhand;(adv.) By secret means; in a clandestine manner; hence, by fraud; unfairly.
Underhand;(adv.) In an underhand manner
Underhanded;(a.) Underhand
Underhanded;(a.) Insufficiently provided with hands or workers
Underhandedly;(adv.) In an underhand manner.
Underhang;(v. t. & i.) To hang under or down
Underhangman;(n.) An assistant or deputy hangman.
Underhead;(n.) A blockhead, or stupid person; a dunderhead.
Underheave;(v. i.) To heave or lift from below.
Underhew;(v. t.) To hew less than is usual or proper; specifically, to hew, as a piece of timber which should be square, in such a manner that it appears to contain a greater number of cubic feet than it really does contain.
Underhonest;(a.) Not entirely honest.
Underhung;(a.) Resting on a track at the bottom, instead of being suspended; -- said of a sliding door.
Underhung;(a.) Having the lower jaw projecting.
Underjaw;(n.) The lower jaw.
Underjoin;(v. t.) To join below or beneath
Underkeep;(v. t.) To keep under, or in subjection; to suppress.
Underkeeper;(n.) A subordinate keeper or guardian.
Underkind;(n.) An inferior kind.
Underkingdom;(n.) A subordinate or dependent kingdom.
Underlaborer;(n.) An assistant or subordinate laborer.
Underlaid;(a.) Laid or placed underneath; also, having something laid or lying underneath.
Underlay;(v. t.) To lay beneath
Underlay;(v. t.) To raise or support by something laid under; as, to underlay a cut, plate, or the like, for printing. See Underlay, n., 2.
Underlay;(n.) To put a tap on (a shoe).
Underlay;(v. i.) To incline from the vertical; to hade; -- said of a vein, fault, or lode.
Underlay;(n.) The inclination of a vein, fault, or lode from the vertical; a hade; -- called also underlie.
Underlay;(n.) A thickness of paper, pasteboard, or the like, placed under a cut, or stereotype plate, or under type, in the from, to bring it, or any part of it, to the proper height; also, something placed back of a part of the tympan, so as to secure the right impression.
Underlayer;(n.) One who, or that which, underlays or is underlaid; a lower layer.
Underlayer;(n.) A perpendicular shaft sunk to cut the lode at any required depth.
Underleaf;(n.) A prolific sort of apple, good for cider.
Underlease;(n.) A lease granted by a tenant or lessee; especially, a lease granted by one who is himself a lessee for years, for any fewer or less number of years than he himself holds; a sublease.
Underlet;(v. t.) To let below the value.
Underlet;(v. t.) To let or lease at second hand
Underletter;(n.) A tenant or lessee who grants a lease to another.
Underlie;(v. t.) To lie under; to rest beneath; to be situated under; as, a stratum of clay underlies the surface gravel.
Underlie;(v. t.) To be at the basis of; to form the foundation of; to support; as, a doctrine underlying a theory.
Underlie;(v. t.) To be subject or amenable to.
Underlie;(v. i.) To lie below or under.
Underlie;(n.) See Underlay, n., 1.
Underline;(v. t.) To mark a line below, as words; to underscore.
Underline;(v. t.) To influence secretly.
Underling;(n.) An inferior person or agent; a subordinate; hence, a mean, sorry fellow.
Underlip;(n.) The lower lip.
Underlock;(n.) A lock of wool hanging under the belly of a sheep.
Underlocker;(n.) A person who inspects a mine daily
Underlying;(a.) Lying under or beneath; hence, fundamental; as, the underlying strata of a locality; underlying principles.
Undermanned;(a.) Insufficiently furnished with men
Undermasted;(a.) Having masts smaller than the usual dimension
Undermaster;(n.) A master subordinate to the principal master
Undermatch;(n.) One who is not a match for another.
Undermeal;(n.) The inferior, or after, part of the day; the afternoon.
Undermeal;(n.) Hence, something occurring or done in the afternoon; esp., an afternoon meal; supper; also, an afternoon nap; a siesta.
Undermine;(v. t.) To excavate the earth beneath, or the part of, especially for the purpose of causing to fall or be overthrown; to form a mine under; to sap; as, to undermine a wall.
Undermine;(v. t.) Fig.: To remove the foundation or support of by clandestine means; to ruin in an underhand way; as, to undermine reputation; to undermine the constitution of the state.
Underminer;(n.) One who undermines.
Underminister;(v. t.) To serve, or minister to, in a subordinate relation.
Underministry;(n.) A subordinate or inferior ministry.
Undermirth;(n.) Suppressed or concealed mirth.
Undermoneyed;(a.) Bribed.
Undermost;(a.) Lowest, as in place, rank, or condition.
Undern;(n.) The time between; the time between sunrise and noon; specifically, the third hour of the day, or nine o'clock in the morning, according to ancient reckoning; hence, mealtime, because formerly the principal meal was eaten at that hour; also, later, the afternoon; the time between dinner and supper.
Underneath;(adv.) Beneath; below; in a lower place; under; as, a channel underneath the soil.
Underneath;(prep.) Under
Underniceness;(n.) A want of niceness
Undernom;(imp.) of Undernime
Undernime;(v. t.) To receive
Undernime;(v. t.) To reprove
Underofficer;(n.) A subordinate officer.
Underpart;(n.) A subordinate part.
Underpay;(v. t.) To pay inadequately.
Underpeep;(v. t.) To peep under.
Underpeer;(v. t.) To peer under.
Underpeopled;(a.) Not fully peopled.
Underpight;() imp. of Underpitch.
Underpinned;(imp. & p. p.) of Underpin
Underpinning;(p. pr. & vb. n.) of Underpin
Underpin;(v. t.) To lay stones, masonry, etc., under, as the sills of a building, on which it is to rest.
Underpin;(v. t.) To support by some solid foundation
Underpinning;(n.) The act of one who underpins; the act of supporting by stones, masonry, or the like.
Underpinning;(n.) That by which a building is underpinned; the material and construction used for support, introduced beneath a wall already constructed.
Underpinning;(n.) The foundation, esp. of a frame house.
Underpight;(imp.) of Underpitch
Underpitch;(v. t.) To fill underneath
Underplay;(v. i.) To play in a subordinate, or in an inferior manner; to underact a part.
Underplay;(v. i.) To play a low card when holding a high one, in the hope of a future advantage.
Underplay;(n.) The act of underplaying.
Underplot;(n.) A series of events in a play, proceeding collaterally with the main story, and subservient to it.
Underplot;(n.) A clandestine scheme
Underpoise;(v. t.) To weigh, estimate, or rate below desert; to undervalue.
Underpossessor;(n.) One who possesses or holds anything subject to the superior of another.
Underpraise;(v. t.) To praise below desert.
Underprize;(v. t.) To undervalue
Underproduction;(n.) The production of less than is demanded or of less than the usual supply.
Underproof;(a.) Containing less alcohol than proof spirit. See Proof spirit, under Spirit.
Underprop;(v. t.) To prop from beneath
Underproportioned;(a.) Of inadequate or inferior proportions
Underproper;(n.) One who, or that which, underprops or supports.
Underpull;(v. i.) To exert one's influence secretly.
Underpuller;(n.) One who underpulls.
Underput;(v. t.) To put or send under.
Underrate;(v. t.) To rate too low
Underrate;(n.) A price less than the value; as, to sell a thing at an underrate.
Underreckon;(v. t.) To reckon below what is right or proper
Underrun;(v. t.) To run or pass under; especially (Naut.), to pass along and under, as a cable, for the purpose of taking it in, or of examining it.
Undersail;(v. i.) To sail alongshore.
Undersailed;(a.) Inadequately equipped with sails.
Undersaturated;(a.) Not fully saturated
Undersay;(v. t.) To say by way of derogation or contradiction.
Underscore;(v. t.) To draw a mark or line under
Undersecretary;(n.) A secretary who is subordinate to the chief secretary; an assistant secretary; as, an undersecretary of the Treasury.
Undersell;(v. t.) To sell the same articles at a lower price than
Underservant;(n.) An inferior servant.
Underset;(v. t.) To prop or support.
Underset;(n.) Undercurrent.
Undersetter;(n.) One who, or that which, undersets or supports; a prop; a support; a pedestal.
Undersetting;(n.) Something set or built under as a support
Undershapen;(a.) Under the usual shape or size
Undersheriff;(n.) A sheriff's deputy.
Undersheriffry;(n.) Undershrievalty.
Undershirt;(n.) A shirt worn next the skin, under another shirt; -- called also undervest.
Undershoot;(v. t.) To shoot short of (a mark).
Undershot;(a.) Having the lower incisor teeth projecting beyond the upper ones, as in the bulldog.
Undershot;(a.) Moved by water passing beneath; -- said of a water wheel, and opposed to overshot; as, an undershot wheel.
Undershrievalty;(n.) The office or position of an undersheriff.
Undershrieve;(n.) A low shrub
Undershrub;(a.) Partly shrublike.
Undershut;(a.) Closed from beneath.
Underside;(n.) The lower or lowest side of anything.
Undersign;(v. t.) To write one's name at the foot or end of, as a letter or any legal instrument.
Undersized;(a.) Of a size less than is common.
Underskinker;(n.) Undertapster.
Underskirt;(n.) A petticoat
Undersky;(n.) The lower region of the sky.
Undersleeve;(n.) A sleeve of an under-garment; a sleeve worn under another,
Undersoil;(n.) The soil beneath the surface
Undersold;() p. p. of Undersell.
Undersong;(n.) The burden of a song
Undersong;(n.) Accompanying strain
Undersparred;(a.) Having spars smaller than the usual dimension
Underspend;(v. t.) To spend less than.
Undersphere;(n.) A sphere which is smaller than, and in its movements subject to, another; a satellite.
Undersphere;(n.) An inferior sphere, or field of action.
Underspore;(v. t.) To raise with a spar, or piece of wood, used as a lever.
Understair;(a.) Of or pertaining to the kitchen, or the servants' quarters; hence, subordinate; menial.
Understairs;(n.) The basement or cellar.
Understood;(imp. & p. p.) of Understand
Understanded;() of Understand
Understanding;(p. pr. & vb. n.) of Understand
Understand;(v. t.) To have just and adequate ideas of; to apprehended the meaning or intention of; to have knowledge of; to comprehend; to know; as, to understand a problem in Euclid; to understand a proposition or a declaration; the court understands the advocate or his argument; to understand the sacred oracles; to understand a nod or a wink.
Understand;(v. t.) To be apprised, or have information, of; to learn; to be informed of; to hear; as, I understand that Congress has passed the bill.
Understand;(v. t.) To recognize or hold as being or signifying
Understand;(v. t.) To mean without expressing
Understand;(v. t.) To stand under
Understand;(v. i.) To have the use of the intellectual faculties
Understand;(v. i.) To be informed
Understandable;(a.) Capable of being understood
Understander;(n.) One who understands, or knows by experience.
Understanding;(a.) Knowing; intelligent; skillful; as, he is an understanding man.
Understanding;(n.) The act of one who understands a thing, in any sense of the verb; knowledge; discernment; comprehension; interpretation; explanation.
Understanding;(n.) An agreement of opinion or feeling; adjustment of differences; harmony; anything mutually understood or agreed upon; as, to come to an understanding with another.
Understanding;(n.) The power to understand; the intellectual faculty; the intelligence; the rational powers collectively conceived an designated; the higher capacities of the intellect; the power to distinguish truth from falsehood, and to adapt means to ends.
Understanding;(n.) Specifically, the discursive faculty; the faculty of knowing by the medium or use of general conceptions or relations. In this sense it is contrasted with, and distinguished from, the reason.
Understandingly;(adv.) In an understanding manner; intelligibly; with full knowledge or comprehension; intelligently; as, to vote upon a question understandingly; to act or judge understandingly.
Understate;(v. t.) To state or represent less strongly than may be done truthfully.
Understatement;(n.) The act of understating, or the condition of being understated; that which is understated; a statement below the truth.
Understock;(v. t.) To supply insufficiently with stock.
Understood;() imp. & p. p. of Understand.
Understrapper;(n.) A petty fellow
Understrapping;(a.) Becoming an understrapper
Understrata;(pl. ) of Understratum
Understratums;(pl. ) of Understratum
Understratum;(n.) The layer, or stratum, of earth on which the mold, or soil, rests; subsoil.
Understroke;(v. t.) To underline or underscore.
Understudy;(v. t. & i.) To study, as another actor's part, in order to be his substitute in an emergency; to study another actor's part.
Understudy;(n.) One who studies another's part with a view to assuming it in an emergency.
Undersuit;(n.) A suit worn under another suit
Undertakable;(a.) Capable of being undertaken
Undertook;(imp.) of Undertake
Undertaken;(p. p.) of Undertake
Undertaking;(p. pr. & vb. n.) of Undertake
Undertake;(v. t.) To take upon one's self
Undertake;(v. t.) Specifically, to take upon one's self solemnly or expressly; to lay one's self under obligation, or to enter into stipulations, to perform or to execute; to covenant; to contract.
Undertake;(v. t.) Hence, to guarantee; to promise; to affirm.
Undertake;(v. t.) To assume, as a character.
Undertake;(v. t.) To engage with
Undertake;(v. t.) To have knowledge of
Undertake;(v. t.) To take or have the charge of.
Undertake;(v. i.) To take upon one's self, or assume, any business, duty, or province.
Undertake;(v. i.) To venture
Undertake;(v. i.) To give a promise or guarantee
Undertaker;(n.) One who undertakes
Undertaker;(n.) One who stipulates or covenants to perform any work for another
Undertaker;(n.) Specifically, one who takes the charge and management of funerals.
Undertaking;(n.) The act of one who undertakes, or engages in, any project or business.
Undertaking;(n.) That which is undertaken; any business, work, or project which a person engages in, or attempts to perform; an enterprise.
Undertaking;(n.) Specifically, the business of an undertaker, or the management of funerals.
Undertaking;(n.) A promise or pledge
Undertapster;(n.) Assistant to a tapster.
Undertaxed;(a.) Taxed too little, or at a lower rate than others.
Undertenancy;(n.) Tenancy or tenure under a tenant or lessee
Undertenant;(n.) The tenant of a tenant
Underthing;(n.) Something that is inferior and of little worth.
Undertide;(n.) Alt. of Undertime
Undertime;(n.) The under or after part of the day
Undertone;(n.) A low or subdued tone or utterance
Undertook;() imp. of Undertake.
Undertow;(n.) The current that sets seaward near the bottom when waves are breaking upon the shore.
Undertreasurer;(n.) An assistant treasurer.
Underturn;(v. t.) To turn upside down
Undervaluation;(n.) The act of undervaluing
Undervalue;(v. t.) To value, rate, or estimate below the real worth; to depreciate.
Undervalue;(v. t.) To esteem lightly
Undervalue;(n.) A low rate or price
